trip_id,person_id,origin_id,dest_id,alt,chosen,dist,cost,time,purpose
0,0,1,3,0,1,3.35,0.41875,2.01,1
0,0,1,4,1,0,14.6,1.825,8.76,1
0,0,1,5,2,0,25.6,3.2,15.36,1
1,1,1,3,0,1,3.35,0.41875,2.01,1
1,1,1,4,1,0,14.6,1.825,8.76,1
1,1,1,5,2,0,25.6,3.2,15.36,1
2,2,2,3,0,0,30.46,3.8075,18.276,1
2,2,2,4,1,1,28.43,3.55375,17.058,1
2,2,2,5,2,0,34.92,4.365,20.952,1
3,3,2,3,0,0,30.46,3.8075,18.276,1
3,3,2,4,1,1,28.43,3.55375,17.058,1
3,3,2,5,2,0,34.92,4.365,20.952,1
4,4,0,3,0,0,43.49,5.43625,26.094,1
4,4,0,4,1,1,39.46,4.9325,23.676,1
4,4,0,5,2,0,43.26,5.4075,25.956,1
5,5,2,3,0,0,30.46,3.8075,18.276,1
5,5,2,4,1,1,28.43,3.55375,17.058,1
5,5,2,5,2,0,34.92,4.365,20.952,1
6,6,0,3,0,0,43.49,5.43625,26.094,1
6,6,0,4,1,1,39.46,4.9325,23.676,1
6,6,0,5,2,0,43.26,5.4075,25.956,1
7,7,0,3,0,0,43.49,5.43625,26.094,1
7,7,0,4,1,1,39.46,4.9325,23.676,1
7,7,0,5,2,0,43.26,5.4075,25.956,1
8,8,2,3,0,0,30.46,3.8075,18.276,1
8,8,2,4,1,1,28.43,3.55375,17.058,1
8,8,2,5,2,0,34.92,4.365,20.952,1
9,9,1,3,0,1,3.35,0.41875,2.01,1
9,9,1,4,1,0,14.6,1.825,8.76,1
9,9,1,5,2,0,25.6,3.2,15.36,1
10,10,1,3,0,1,3.35,0.41875,2.01,1
10,10,1,4,1,0,14.6,1.825,8.76,1
10,10,1,5,2,0,25.6,3.2,15.36,1
11,11,1,3,0,1,3.35,0.41875,2.01,1
11,11,1,4,1,0,14.6,1.825,8.76,1
11,11,1,5,2,0,25.6,3.2,15.36,1
12,12,2,3,0,0,30.46,3.8075,18.276,1
12,12,2,4,1,1,28.43,3.55375,17.058,1
12,12,2,5,2,0,34.92,4.365,20.952,1
13,13,1,3,0,1,3.35,0.41875,2.01,1
13,13,1,4,1,0,14.6,1.825,8.76,1
13,13,1,5,2,0,25.6,3.2,15.36,1
14,14,2,3,0,0,30.46,3.8075,18.276,1
14,14,2,4,1,1,28.43,3.55375,17.058,1
14,14,2,5,2,0,34.92,4.365,20.952,1
15,15,2,3,0,0,30.46,3.8075,18.276,1
15,15,2,4,1,1,28.43,3.55375,17.058,1
15,15,2,5,2,0,34.92,4.365,20.952,1
16,16,1,3,0,1,3.35,0.41875,2.01,1
16,16,1,4,1,0,14.6,1.825,8.76,1
16,16,1,5,2,0,25.6,3.2,15.36,1
17,17,2,3,0,0,30.46,3.8075,18.276,1
17,17,2,4,1,1,28.43,3.55375,17.058,1
17,17,2,5,2,0,34.92,4.365,20.952,1
18,18,2,3,0,0,30.46,3.8075,18.276,1
18,18,2,4,1,1,28.43,3.55375,17.058,1
18,18,2,5,2,0,34.92,4.365,20.952,1
19,19,2,3,0,0,30.46,3.8075,18.276,1
19,19,2,4,1,1,28.43,3.55375,17.058,1
19,19,2,5,2,0,34.92,4.365,20.952,1
